Temple,Latitude,Longitude,LatitudeDegrees,LongitudeDegress,Address,City,State,Postal Code,Country,Phone,InstructionRooms,SealingRooms,BaptismRooms,SquareFootage,Acreage,Announcement,Groundbreaking,Dedication,US
Oakland California Temple,37.808027,-122.19912,"37°48'28""N","122°11'56""W",4770 Lincoln Avenue,Oakland,California,94602-2535,United States,(+1) 510-531-3200,4,7,1,80157,18.1,1961-01-23,1962-05-26,1964-11-17,TRUE
Washington D.C. Temple,39.014079,-77.065624,"39°0'50""N","77°3'56""W",9900 Stoneybrook Drive,Kensington,Maryland,20895-3199,United States,(+1) 301-588-0650,6,14,1,160000,52,1968-11-15,1968-12-07,1974-11-19,TRUE
Ogden Utah Temple,41.227786,-111.971506,"41°13'40""N","111°58'17""W",350 22nd Street,Ogden,Utah,84401-1487,United States,(+1) 801-621-6880,6,9,1,112232,9.96,1967-08-24,1969-09-08,1972-01-18,TRUE
Provo Utah Temple,40.263666,-111.639779,"40°15'49""N","111°38'23""W",2200 Temple Hill Drive,Provo,Utah,84604-1766,United States,(+1) 801-375-5775,6,12,1,128325,17,1967-08-14,1969-09-15,1972-02-09,TRUE
São Paulo Brazil Temple,-23.585174,-46.722764,"23°35'6""S","46°43'21""W",Avenida Professor Francisco Morato 2390 Caxingui,São Paulo,São Paulo,05512-900,Brazil,(+55) 11-3723-7600,2,4,1,59246,1.85,1975-03-01,1976-03-20,1978-10-30,FALSE
Tokyo Japan Temple,35.652838,139.724539,"35°39'10""N","139°43'28""E",5-8-10 Minami Azabu Minato-Ku,Tokyo,NA,106-0047,Japan,NA,2,5,1,52590,0.46,1975-08-09,1978-04-10,1980-10-27,FALSE
Seattle Washington Temple,47.58407,-122.140876,"47°35'2""N","122°8'27""W",2808 148th Avenue SE,Bellevue,Washington,98007-6453,United States,(+1) 425-643-5144,4,13,1,110000,23.5,1975-11-15,1978-05-27,1980-11-17,TRUE
Jordan River Utah Temple,40.566354,-111.931417,"40°33'58""N","111°55'53""W",10200 South 1300 West,South Jordan,Utah,84095-8814,United States,(+1) 801-254-3003,6,16,1,148236,15,1978-02-03,1979-06-09,1981-11-16,TRUE
Mexico City Mexico Temple,19.465905,-99.086754,"19°27'57""N","99°5'12""W",Avenida 510 no. 90 Colonia San Juan de Aragón,Mexico City,Distrito Federal,07950,Mexico,(+52) 55-5003-3700,4,11,1,116642,7,1976-04-03,1979-11-25,1983-12-02,FALSE
Papeete Tahiti Temple,-17.536618,-149.556019,"17°32'11""S","149°33'21""W",Route de Fautaua?Titioro,Papeete,Tahiti,98716,French Polynesia,(+689) 40-50-3939,2,2,1,12150,1.7,1980-04-02,1981-02-13,1983-10-27,FALSE
Nuku'alofa Tonga Temple,-21.162561,-175.27232,"21°9'45""S","175°16'20""W",Loto Road Liahona,Nuku'alofa,Tongatapu,NA,Tonga,(+676) 20-300,2,3,1,21184,1.2,1980-04-02,1981-02-18,1983-08-09,FALSE
Apia Samoa Temple,-13.838064,-171.783034,"13°50'17""S","171°46'58""W",Vaitele Street,Pesega,Apia,NA,Samoa,(+685) 64-230,2,2,1,18691,2,1977-10-15,1981-02-19,1983-08-05,FALSE
Atlanta Georgia Temple,33.931896,-84.362394,"33°55'54""N","84°21'44""W",6450 Barfield Road NE,Sandy Springs,Georgia,30328-4283,United States,(+1) 770-393-3698,4,4,1,34500,9.6,1980-04-02,1981-03-07,1983-06-01,TRUE
Santiago Chile Temple,-33.436174,-70.609521,"33°26'10""S","70°36'34""W",Pocuro 1940 Providencia,Santiago,Región Metropolitana,664-1404,Chile,(+56) 22-340-5070,2,3,1,20831,2.61,1980-04-02,1981-05-30,1983-09-15,FALSE
Sydney Australia Temple,-33.775617,151.050592,"33°46'32""S","151°3'2""E",756 Pennant Hills Road (Corner of Pennant Hills Road and Moseley Street),Carlingford,New South Wales,2118,Australia,(+61) 2-9841-5471,2,3,1,30677,3,1980-04-02,1982-08-13,1984-09-20,FALSE
Manila Philippines Temple,14.601356,121.069818,"14°36'4""N","121°4'11""E",13 Temple Drive Greenmeadows Subdivision,Quezon City,Metro Manila,1110,Philippines,(+63) 2-635-0954,4,3,1,26683,3.5,1981-04-01,1982-08-25,1984-09-25,FALSE
Taipei Taiwan Temple,25.031377,121.527794,"25°1'52""N","121°31'40""E",256 Ai Kuo East Road,Taipei,NA,106,Taiwan,(+886) 2-2192-4930,4,3,1,9945,0.5,1982-03-31,1982-08-27,1984-11-17,FALSE
Lima Peru Temple,-12.069713,-76.948897,"12°4'10""S","76°56'56""W",Av. Javier Prado Este 6420 Urb. Santa Patricia La Molina,Lima,Lima,12,Peru,(+51) 1-612-7200,4,3,1,9600,4.5,1981-04-01,1982-09-11,1986-01-10,FALSE
Guatemala City Guatemala Temple,14.583303,-90.485576,"14°34'59""N","90°29'8""W",24 Avenida 2-20 Zona 15 Vista Hermosa 1,Guatemala City,Guatemala,NA,Guatemala,(+502) 2369-3426,4,3,1,11610,1.4,1981-04-01,1982-09-12,1984-12-14,FALSE
Johannesburg South Africa Temple,-26.178051,28.039195,"26°10'40""S","28°2'21""E",7 Jubilee Road Parktown,Johannesburg,NA,2193,South Africa,(+27) 11-645-1540,4,3,1,19184,1,1981-04-01,1982-11-27,1985-08-24,FALSE
Boise Idaho Temple,43.593523,-116.275034,"43°35'36""N","116°16'30""W",1211 South Cole Road,Boise,Idaho,83709-1871,United States,(+1) 208-322-4422,4,4,1,35868,4.83,1982-03-31,1982-12-18,1984-05-25,TRUE
Dallas Texas Temple,32.914288,-96.796525,"32°54'51""N","96°47'47""W",6363 Willow Lane,Dallas,Texas,75230-2227,United States,(+1) 972-991-1273,5,4,1,44207,6,1981-04-01,1983-01-22,1984-10-19,TRUE
Buenos Aires Argentina Temple,-34.729286,-58.518225,"34°43'45""S","58°31'5""W",Autopista Richieri y Puente 13 Ciudad Evita,Buenos Aires,NA,B1778 DUA,Argentina,(+54) 11-4693-9700,4,3,1,30659,3.73,1980-04-02,1983-04-20,1986-01-17,FALSE
Freiberg Germany Temple,50.922315,13.322541,"50°55'20""N","13°19'21""E",Hainichener Strasse 64,Freiberg,Sachsen,DE-09599,Germany,(+49) 3731-35960,2,2,1,21500,3.58,1982-10-09,1983-04-23,1985-06-29,FALSE
Seoul Korea Temple,37.558913,126.931286,"37°33'32""N","126°55'52""E",500-23 Changcheon-dong Seodaemun-gu,Seoul-si,Seoul-teukbyeolsi,120-836,South Korea,(+82) 2-334-9100,4,3,1,28057,1,1981-04-01,1983-05-09,1985-12-14,FALSE
Chicago Illinois Temple,42.086829,-87.859501,"42°5'12""N","87°51'34""W",4151 West Lake Avenue,Glenview,Illinois,60025-1240,United States,(+1) 847-299-6500,5,3,1,37062,13,1981-04-01,1983-08-13,1985-08-09,TRUE
Stockholm Sweden Temple,59.124676,18.109177,"59°7'28""N","18°6'33""E",Tempelvägen 5,Västerhaninge,NA,SE-13742,Sweden,(+46) 8-5006-5500,4,3,1,16366,4.47,1981-04-01,1984-03-17,1985-07-02,FALSE
Denver Colorado Temple,39.568698,-104.965782,"39°34'7""N","104°57'56""W",2001 East Phillips Circle,Centennial,Colorado,80122,United States,(+1) 303-730-0220,4,5,1,29117,7.5,1982-03-31,1984-05-19,1986-10-24,TRUE
Frankfurt Germany Temple,50.258246,8.641316,"50°15'29""N","8°38'28""E",Talstrasse 10,Friedrichsdorf,Hessen,DE-61381,Germany,(+49) 6172-59000,4,4,1,32895,5.6,1981-04-01,1985-07-01,1987-08-28,FALSE
Las Vegas Nevada Temple,36.174597,-115.020052,"36°10'28""N","115°1'12""W",827 Temple View Drive,Las Vegas,Nevada,89110-2920,United States,(+1) 702-452-5011,4,5,1,80350,10.3,1984-04-07,1985-11-30,1989-12-16,TRUE
Portland Oregon Temple,45.425345,-122.742224,"45°25'31""N","122°44'32""W",13600 SW Kruse Oaks Boulevard,Lake Oswego,Oregon,97035-8602,United States,(+1) 503-639-7066,4,14,1,80500,7.3,1984-04-07,1986-09-20,1989-08-19,TRUE
Toronto Ontario Temple,43.744338,-79.746059,"43°44'39""N","79°44'45""W",10060 Bramalea Road,Brampton,Ontario,L6R 1A1,Canada,(+1) 905-799-1122,4,6,1,57982,13.4,1984-04-07,1987-10-10,1990-08-25,FALSE
San Diego California Temple,32.866389,-117.228769,"32°51'59""N","117°13'43""W",7474 Charmant Drive,San Diego,California,92122-5000,United States,(+1) 858-622-0991,4,8,1,72000,7.2,1984-04-07,1988-02-27,1993-04-25,TRUE
Bountiful Utah Temple,40.882853,-111.846812,"40°52'58""N","111°50'48""W",640 South Bountiful Boulevard,Bountiful,Utah,84010-1394,United States,(+1) 801-296-2100,4,8,1,104000,9,1990-02-02,1992-05-02,1995-01-08,TRUE
Orlando Florida Temple,28.507348,-81.509578,"28°30'26""N","81°30'34""W",9000 Windy Ridge Road,Windermere,Florida,34786-8347,United States,(+1) 407-876-0022,4,5,1,70000,13,1990-02-17,1992-06-20,1994-10-09,TRUE
Bogotá Colombia Temple,4.707801,-74.056247,"4°42'28""N","74°3'22""W",Carrera 46 no. 127?45,Bogotá,Distrito,Capital,Colombia,(+57) 1-625-8000,4,3,1,53500,3.71,1984-04-07,1993-06-26,1999-04-24,FALSE
Mount Timpanogos Utah Temple,40.393166,-111.770509,"40°23'35""N","111°46'13""W",742 North 900 East,American Fork,Utah,84003-9124,United States,(+1) 801-763-4540,4,8,1,107240,16.7,1992-10-03,1993-10-09,1996-10-13,TRUE
St. Louis Missouri Temple,38.639651,-90.464685,"38°38'22""N","90°27'52""W",12555 North Outer Forty Drive,St. Louis,Missouri,63141-8620,United States,(+1) 314-514-1122,4,4,1,58749,14,1990-12-29,1993-10-30,1997-06-01,TRUE
Hong Kong China Temple,22.34045,114.177336,"22°20'25""N","114°10'38""E",2 Cornwall Street Kowloon Tong,Kowloon City,NA,NA,Hong Kong,(+852) 2339-8100,2,2,1,21744,0.3,1992-10-03,1994-01-22,1996-05-26,FALSE
Preston England Temple,53.672476,-2.631275,"53°40'20""N","2°37'52""W",Temple Way Hartwood Green Chorley,Lancashire,NA,PR6 7EQ,United Kingdom,(+44) 1257-226-100,4,4,1,69630,15,1992-10-19,1994-06-12,1998-06-07,FALSE
Vernal Utah Temple,40.453205,-109.537413,"40°27'11""N","109°32'14""W",170 South 400 West,Vernal,Utah,84078-2536,United States,(+1) 435-789-3220,2,3,1,38771,1.6,1994-02-13,1995-05-13,1997-11-02,TRUE
Madrid Spain Temple,40.40009,-3.63158,"40°24'0""N","3°37'53""W",Calle del Templo no. 2,Madrid,NA,ES-28030,Spain,(+34) 91-214-2607,4,4,1,45800,3.5,1993-04-04,1996-06-11,1999-03-19,FALSE
Guayaquil Ecuador Temple,-2.156246,-79.904877,"2°9'22""S","79°54'17""W",Calle 6ta y Avenida Rodrigo Chávez González Principado de las Lomas,Urdesa Norte,Guayaquil,NA,Ecuador,(+593) 4-371-8100,4,3,1,45000,6.2,1982-03-31,1996-08-10,1999-08-01,FALSE
Santo Domingo Dominican Republic Temple,18.466567,-69.917144,"18°27'59""N","69°55'1""W",Avenida Bolivar no. 825 Los Robles,Santo Domingo,Distrito Nacional,10106,Dominican Republic,(+1) 809-731-2000,4,4,1,67000,6.42,1993-11-16,1996-08-18,2000-09-17,FALSE
Cochabamba Bolivia Temple,-17.363644,-66.147644,"17°21'49""S","66°8'51""W",Avenida Melchor Urquidi 1500 Alto Queru Queru,Cochabamba,Cochabamba,NA,Bolivia,(+591) 4-429-3161,2,3,1,33302,6.67,1995-01-13,1996-11-10,2000-04-30,FALSE
Recife Brazil Temple,-8.03639,-34.911123,"8°2'11""S","34°54'40""W",Rua Dr. José de Góes 284 Parnamirim,Recife,Pernambuco,52060-380,Brazil,(+55) 81-2129-4300,2,3,1,37200,5.59,1995-01-13,1996-11-11,2000-12-15,FALSE
Boston Massachusetts Temple,42.412002,-71.188091,"42°24'43""N","71°11'17""W",100 Hinckley Way (formerly 86 Frontage Road),Belmont,Massachusetts,02478-2135,United States,(+1) 617-993-9993,4,4,1,69600,8,1995-09-30,1997-06-13,2000-10-01,TRUE
Monticello Utah Temple,37.877917,-109.347066,"37°52'40""N","109°20'49""W",365 North 200 West,Monticello,Utah,84535,United States,(+1) 435-587-3500,2,2,1,11225,1.33,1997-10-04,1997-11-17,1998-07-26,TRUE
Colonia Juárez Chihuahua Mexico Temple,30.305251,-108.082038,"30°18'18""N","108°4'55""W",Calles Chihuahua y Díaz,Colonia Juárez,Chihuahua,31857,Mexico,(+52) 636-695-0144,1,1,1,6800,2.56,1997-10-04,1998-03-07,1999-03-06,FALSE
Billings Montana Temple,45.800505,-108.63939,"45°48'1""N","108°38'21""W",3100 Rim Point Drive,Billings,Montana,59106-1386,United States,(+1) 406-655-0607,2,3,1,33800,10,1996-08-30,1998-03-30,1999-11-20,TRUE
Anchorage Alaska Temple,61.101627,-149.840512,"61°6'5""N","149°50'25""W",13161 Brayton Drive,Anchorage,Alaska,99516,United States,(+1) 907-348-7890,2,1,1,11937,5.4,1997-10-04,1998-04-17,1999-01-09,TRUE
Campinas Brazil Temple,-22.896534,-47.001133,"22°53'47""S","47°0'4""W",Rua James Esdras Faust 400 Notre Dame,Campinas,São Paulo,13092-820,Brazil,(+55) 19-2102-5800,4,3,1,48100,6.18,1997-04-03,1998-05-01,2002-05-17,FALSE
Porto Alegre Brazil Temple,-30.034047,-51.157868,"30°2'2""S","51°9'28""W",Rua General Salvador Pinheiro 50 Vila Jardim,Porto Alegre,Rio Grande do Sul,91320-240,Brazil,(+55) 51-2104-2700,2,2,1,10700,2,1997-09-30,1998-05-02,2000-12-17,FALSE
Houston Texas Temple,29.999729,-95.533038,"29°59'59""N","95°31'58""W",15725 Champion Forest Drive,Spring,Texas,77379-7036,United States,(+1) 281-376-6804,2,3,1,33970,11,1997-09-30,1998-06-13,2000-08-26,TRUE
Albuquerque New Mexico Temple,35.167684,-106.525301,"35°10'3""N","106°31'31""W",10301 San Francisco Drive NE,Albuquerque,New Mexico,87122-3437,United States,(+1) 505-822-5110,2,3,1,34245,8.5,1997-04-04,1998-06-20,2000-03-05,TRUE
Columbus Ohio Temple,39.994089,-83.113214,"39°59'38""N","83°6'47""W",3870 Gateway Boulevard,Columbus,Ohio,43228,United States,(+1) 614-351-5001,2,2,1,10700,1.35,1998-04-25,1998-09-12,1999-09-04,TRUE
St. Paul Minnesota Temple,44.980261,-92.965199,"44°58'48""N","92°57'54""W",2150 Hadley Avenue North,Oakdale,Minnesota,55128-4505,United States,(+1) 651-748-5910,2,2,1,10700,7.5,1998-07-29,1998-09-26,2000-01-09,TRUE
Detroit Michigan Temple,42.566266,-83.229983,"42°33'58""N","83°13'47""W",37425 Woodward Avenue,Bloomfield Hills,Michigan,48304,United States,(+1) 248-593-0690,2,2,1,10700,6.34,1998-08-10,1998-10-10,1999-10-23,TRUE
Spokane Washington Temple,47.620163,-117.22069,"47°37'12""N","117°13'14""W",13710 East 40th Avenue,Spokane,Washington,99206,United States,(+1) 509-926-2824,2,2,1,10700,2,1998-08-13,1998-10-10,1999-08-21,TRUE
Halifax Nova Scotia Temple,44.66999,-63.489038,"44°40'11""N","63°29'20""W",44 Cumberland Drive,Dartmouth,Nova Scotia,B2V 1P1,Canada,(+1) 902-434-6920,2,2,1,10700,2,1998-05-07,1998-10-12,1999-11-14,FALSE
Bismarck North Dakota Temple,46.838889,-100.813979,"46°50'20""N","100°48'50""W",2930 Cody Drive,Bismarck,North Dakota,58503,United States,(+1) 701-258-9590,2,2,1,10700,1.6,1998-07-29,1998-10-17,1999-09-19,TRUE
Regina Saskatchewan Temple,50.420981,-104.54168,"50°25'15""N","104°32'30""W",111 Wascana Gate North,Regina,Saskatchewan,S4V 2J6,Canada,(+1) 306-545-8194,2,2,1,10700,1,1998-08-03,1998-11-14,1999-11-14,FALSE
Tampico Mexico Temple,22.254262,-97.855869,"22°15'15""N","97°51'21""W",Avenida Ejército Mexicano no. 74 con 3A Avenida Colonia Lomas del Gallo,Ciudad Madero,Tamaulipas,89480,Mexico,(+52) 833-216-9660,2,2,1,10700,2.96,1998-07-08,1998-11-28,2000-05-20,FALSE
Columbia South Carolina Temple,33.959638,-80.893981,"33°57'34""N","80°53'38""W",2905 Trotter Road,Hopkins,South Carolina,29061-9573,United States,(+1) 803-647-9472,2,2,1,10700,3.6,1998-09-11,1998-12-05,1999-10-16,TRUE
Hermosillo Sonora Mexico Temple,29.102548,-110.94687,"29°6'9""N","110°56'48""W",General Pedro García Conde no. 303 Esquina Con Juan José Ríos Colonia Pitic,Hermosillo,Sonora,83150,Mexico,(+52) 662-210-5660,2,2,1,10769,1.54,1998-07-20,1998-12-05,2000-02-27,FALSE
Ciudad Juárez Mexico Temple,31.736269,-106.463209,"31°44'10""N","106°27'47""W",Calle Paraguay #290 Esquina José Borunda Colonia Partido Romero,Ciudad Juárez,Chihuahua,32177,Mexico,(+52) 656-611-5146,2,2,1,10700,1.64,1998-05-07,1999-01-09,2000-02-26,FALSE
Villahermosa Mexico Temple,17.981276,-92.937375,"17°58'52""N","92°56'14""W",Avenida 27 de Febrero no. 1717 Colonia Atasta de Serra,Villahermosa,Tabasco,86100,Mexico,(+52) 993-352-2028,2,2,1,10700,1.36,1998-10-30,1999-01-09,2000-05-21,FALSE
Caracas Venezuela Temple,10.470849,-66.837293,"10°28'15""N","66°50'14""W",Avenida C con Calle C-1 Urbanización Caurimare,Caracas,Distrito Federal,1062-A,Venezuela,(+58) 212-981-1873,2,2,1,15332,0.5,1995-09-30,1999-01-10,2000-08-20,FALSE
Memphis Tennessee Temple,35.240752,-89.839334,"35°14'26""N","89°50'21""W",4199 Kirby-Whitten Parkway,Bartlett,Tennessee,38135,United States,(+1) 901-379-0202,2,2,1,10890,6.35,1998-09-17,1999-01-16,2000-04-23,TRUE
Mérida Mexico Temple,20.965784,-89.631061,"20°57'56""N","89°37'51""W",Calle 70 no. 527 Esquina 65 y 67 Colonia Centro,Mérida,Yucatán,97000,Mexico,(+52) 999-928-1643,2,2,1,10700,1.53,1998-09-25,1999-01-16,2000-07-08,FALSE
Raleigh North Carolina Temple,35.732111,-78.861542,"35°43'55""N","78°51'41""W",574 Bryan Drive,Apex,North Carolina,27502,United States,(+1) 919-362-4135,2,2,1,12864,3.17,1998-09-03,1999-02-06,1999-12-18,TRUE
Edmonton Alberta Temple,53.489593,-113.570538,"53°29'22""N","113°34'13""W",14325 53rd Avenue NW,Edmonton,Alberta,T6H 5G6,Canada,(+1) 780-434-7436,2,2,1,10700,1,1998-08-11,1999-02-27,1999-12-11,FALSE
Kona Hawaii Temple,19.641614,-155.985524,"19°38'29""N","155°59'7""W",75-230 Kalani Street,Kailua Kona,Hawaii,96740-1833,United States,(+1) 808-331-8504,2,2,1,10700,7.02,1998-05-07,1999-03-13,2000-01-23,TRUE
Nashville Tennessee Temple,35.948839,-86.860329,"35°56'55""N","86°51'37""W",1100 Gray Fox Lane,Franklin,Tennessee,37069,United States,(+1) 615-791-8668,2,2,1,10700,6.86,1994-11-09,1999-03-13,2000-05-21,TRUE
Oaxaca Mexico Temple,17.041554,-96.713503,"17°2'29""N","96°42'48""W",Avenida Universidad no. 139 Fraccionamiento Real de Candiani,Oaxaca,Oaxaca,68130,Mexico,(+52) 951-516-9588,2,2,1,10700,1.87,1999-02-23,1999-03-13,2000-03-11,FALSE
Fresno California Temple,36.828257,-119.852911,"36°49'41""N","119°51'10""W",6290 North Valentine Avenue,Fresno,California,93711,United States,(+1) 559-437-9451,2,2,1,10700,2.34,1999-01-08,1999-03-20,2000-04-09,TRUE
Fukuoka Japan Temple,33.572618,130.391704,"33°34'21""N","130°23'30""E",9-15 Hirao Johsui Machi Chuo-ku,Fukuoka-shi,Fukuoka-ken,810-0029,Japan,(+81) 92-525-8255,2,2,1,10700,1.25,1998-05-07,1999-03-20,2000-06-11,FALSE
Melbourne Australia Temple,-37.868774,145.212622,"37°52'7""S","145°12'45""E",76 Cathies Lane,Wantirna South,Victoria,3152,Australia,(+61) 3-9881-9700,2,2,1,10700,5.98,1998-10-30,1999-03-20,2000-06-16,FALSE
Tuxtla Gutiérrez Mexico Temple,16.764164,-93.159155,"16°45'50""N","93°9'32""W",Carretera a Chicoasen Chiapas Kilómetro 14 Esquina Paseo de la Roseta Fraccionamiento San José Chapultepec,Tuxtla Gutiérrez,Chiapas,29047,Mexico,(+52) 961-615-8287,2,2,1,10700,1.56,1999-02-25,1999-03-20,2000-03-12,FALSE
Montreal Quebec Temple,45.563335,-73.490616,"45°33'48""N","73°29'26""W",1450 Boulevard Marie-Victorin,Longueuil,Quebec,J4G 1A4,Canada,(+1) 450-646-5775,2,2,1,11550,2.4,1998-08-06,1999-04-09,2000-06-04,FALSE
Copenhagen Denmark Temple,55.692677,12.53392,"55°41'33""N","12°32'2""E",Priorvej 12,Frederiksberg,NA,DK-2000,Denmark,(+45) 38-18-1818,2,2,1,25000,0.6,1999-03-17,1999-04-24,2004-05-23,FALSE
San José Costa Rica Temple,9.986418,-84.184831,"9°59'11""N","84°11'5""W",Del Hotel Marriott 600 Metros Oeste La Ribera de Belén,Heredia,NA,40702,Costa Rica,(+506) 2293-6681,2,2,1,10700,1.93,1999-03-17,1999-04-24,2000-06-04,FALSE
Montevideo Uruguay Temple,-34.888444,-56.074088,"34°53'18""S","56°4'26""W",Bolonia 1722 Carrasco,Montevideo,NA,11500,Uruguay,(+598) 2604-7300,2,2,1,10700,1.59,1998-11-02,1999-04-27,2001-03-18,FALSE
Baton Rouge Louisiana Temple,30.362664,-91.108385,"30°21'45""N","91°6'30""W",10339 Highland Road,Baton Rouge,Louisiana,70810,United States,(+1) 225-769-1197,2,2,1,10890,6.3,1998-10-14,1999-05-08,2000-07-16,TRUE
Suva Fiji Temple,-18.119705,178.438559,"18°7'10""S","178°26'18""E",2-20 Lakeba Street,Samabula,Suva,NA,Fiji,(+679) 338-8952,2,2,1,12755,4.7,1998-05-07,1999-05-08,2000-06-18,FALSE
Medford Oregon Temple,42.373324,-122.932746,"42°22'23""N","122°55'57""W",3900 Grant Road,Central Point,Oregon,97502,United States,(+1) 541-664-2050,2,2,1,10700,2,1999-03-15,1999-05-20,2000-04-16,TRUE
Palmyra New York Temple,43.039148,-77.237063,"43°2'20""N","77°14'13""W",2720 Temple Road,Palmyra,New York,14522,United States,(+1) 315-597-6001,2,2,1,10900,5,1999-02-21,1999-05-25,2000-04-06,TRUE
Adelaide Australia Temple,-34.892473,138.635002,"34°53'32""S","138°38'6""E",53-59 Lower Portrush Road,Marden,South Australia,5070,Australia,(+61) 8-8363-8000,2,2,1,10700,6.94,1999-03-17,1999-05-29,2000-06-15,FALSE
Louisville Kentucky Temple,38.32112,-85.488843,"38°19'16""N","85°29'19""W",7116 West Highway 22,Crestwood,Kentucky,40014,United States,(+1) 502-241-4115,2,2,1,10700,3,1999-03-17,1999-05-29,2000-03-19,TRUE
Veracruz Mexico Temple,19.13441,-96.10626,"19°8'3""N","96°6'22""W",Avenida Ejército Mexicano Esquina Michoacán Colonia Luís Echeverría,Boca del Río,Veracruz,94290,Mexico,(+52) 229-922-9621,2,2,1,10700,3.39,1999-04-14,1999-05-29,2000-07-09,FALSE
Guadalajara Mexico Temple,20.66155,-103.42307,"20°39'41""N","103°25'23""W",Avenida Patria no. 879 Fraccionamiento Jardines Tepeyac,Zapopán,Jalisco,45030,Mexico,(+52) 33-3125-1283,2,2,1,10700,2.69,1999-04-14,1999-06-12,2001-04-29,FALSE
Oklahoma City Oklahoma Temple,35.591846,-97.7267,"35°35'30""N","97°43'36""W",12030 North Mustang Road,Yukon,Oklahoma,73099,United States,(+1) 405-373-2309,2,2,1,10890,1,1999-03-14,1999-07-03,2000-07-30,TRUE
Reno Nevada Temple,39.534611,-119.898913,"39°32'4""N","119°53'56""W",2000 Beaumont Parkway,Reno,Nevada,89523,United States,(+1) 775-747-6688,2,2,1,10700,7.9,1999-04-12,1999-07-24,2000-04-23,TRUE
Birmingham Alabama Temple,33.674623,-86.821236,"33°40'28""N","86°49'16""W",1927 Mount Olive Boulevard,Gardendale,Alabama,35071,United States,(+1) 205-631-3444,2,2,1,10700,5.6,1998-09-11,1999-10-09,2000-09-03,TRUE
Nauvoo Illinois Temple,40.55048,-91.384378,"40°33'1""N","91°23'3""W",50 North Wells Street,Nauvoo,Illinois,62354,United States,(+1) 217-453-6252,4,6,1,54000,3.3,1999-04-04,1999-10-24,2002-06-27,TRUE
